# magnetic superspace group                           ({Mxc1,Mxs1},{Myc1,Mys1},{Mzc1,Mzs1};{Mxc2,Mxs2},{Myc2,Mys2},{Mzc2,Mzs2})
75.2.57.1.m1.1    P4.1(a,b,0)0(-b,a,0)0             ({  - ,  A },{  - ,  B },{  C ,  - };{  - , -B },{  - ,  A },{  C ,  - })     
75.2.57.1.m3.1     P4'(a,b,0)0(-b,a,0)0             ({  - ,  A },{  - ,  B },{  C ,  - };{  - ,  B },{  - , -A },{ -C ,  - })
81.2.57.1.m33.1  P-4.1(a,b,0)0(-b,a,0)0             ({  - ,  A },{  - ,  B },{  C ,  - };{  - ,  B },{  - , -A },{  C ,  - })
81.2.57.1.m35.1   P-4'(a,b,0)0(-b,a,0)0             ({  - ,  A },{  - ,  B },{  C ,  - };{  - , -B },{  - ,  A },{ -C ,  - })
83.2.57.1.m43.1 P4/m.1(a,b,0)00(-b,a,0)00           ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{  A ,  - })
83.2.57.1.m45.1  P4'/m(a,b,0)00(-b,a,0)00           ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{ -A ,  - })
83.2.57.1.m46.1  P4/m'(a,b,0)00(-b,a,0)00           ({  - ,  A },{  - ,  B },{  - ,  - };{  - , -B },{  - ,  A },{  - ,  - })
83.2.57.1.m47.1 P4'/m'(a,b,0)00(-b,a,0)00           ({  - ,  A },{  - ,  B },{  - ,  - };{  - ,  B },{  - , -A },{  - ,  - })
83.2.57.2.m43.1 P4/m.1(a,b,0)0s(-b,a,0)0s           ({  A ,  - },{  B ,  - },{  - ,  - };{ -B ,  - },{  A ,  - },{  - ,  - })
83.2.57.2.m45.1  P4'/m(a,b,0)0s(-b,a,0)0s           ({  A ,  - },{  B ,  - },{  - ,  - };{  B ,  - },{ -A ,  - },{  - ,  - })
83.2.57.2.m46.1  P4/m'(a,b,0)0s(-b,a,0)0s           ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - ,  A })
83.2.57.2.m47.1 P4'/m'(a,b,0)0s(-b,a,0)0s           ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - , -A })
89.2.63.8.m87.1 P422.1(a,0,0)000(0,a,0)000          ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  A },{  - ,  - })
89.2.63.8.m89.1 P4'22'(a,0,0)000(0,a,0)000          ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - , -A },{  - ,  - })
89.2.63.8.m90.1 P42'2'(a,0,0)000(0,a,0)000          ({  - ,  - },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  - },{  B ,  - })
89.2.63.8.m91.1 P4'2'2(a,0,0)000(0,a,0)000          ({  - ,  - },{  - ,  A },{  B ,  - };{  - ,  A },{  - ,  - },{ -B ,  - })
89.2.63.9.m87.1 P422.1(a,0,0)0s0(0,a,0)000          ({  - ,  - },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  - },{  B ,  - })
89.2.63.9.m89.1 P4'22'(a,0,0)0s0(0,a,0)000          ({  - ,  - },{  - ,  A },{  B ,  - };{  - ,  A },{  - ,  - },{ -B ,  - })
89.2.63.9.m90.1 P42'2'(a,0,0)0s0(0,a,0)000          ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  A },{  - ,  - })
89.2.63.9.m91.1 P4'2'2(a,0,0)0s0(0,a,0)000          ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - , -A },{  - ,  - })
89.2.68.13.m87.1 P422.1(a,a,0)000(-a,a,0)000        ({  - ,  A },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  A },{  - ,  - })
89.2.68.13.m89.1 P4'22'(a,a,0)000(-a,a,0)000        ({  - ,  A },{  - , -A },{  B ,  - };{  - , -A },{  - , -A },{ -B ,  - })
89.2.68.13.m90.1 P42'2'(a,a,0)000(-a,a,0)000        ({  - ,  A },{  - , -A },{  B ,  - };{  - ,  A },{  - ,  A },{  B ,  - })
